name,symbol,description,chromosome,color
2,A2M,alpha-2-macroglobulin,12,"rgb(190,186,218)"
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",9,"rgb(190,186,218)"
27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,"rgb(141,211,199)"
58,ACTA1,"actin, alpha 1, skeletal muscle",1,"rgb(141,211,199)"
60,ACTB,"actin, beta",7,"rgb(255,255,179)"
71,ACTG1,"actin, gamma 1",17,"rgb(128,177,211)"
81,ACTN4,"actinin, alpha 4",19,"rgb(128,177,211)"
87,ACTN1,"actinin, alpha 1",14,"rgb(251,128,114)"
90,ACVR1,"activin A receptor, type I",2,"rgb(141,211,199)"
163,AP2B1,"adaptor-related protein complex 2, beta 1 subunit",17,"rgb(128,177,211)"
164,AP1G1,"adaptor-related protein complex 1, gamma 1 subunit",16,"rgb(251,128,114)"
196,AHR,aryl hydrocarbon receptor,7,"rgb(255,255,179)"
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,14,"rgb(251,128,114)"
310,ANXA7,annexin A7,10,"rgb(190,186,218)"
324,APC,adenomatous polyposis coli,5,"rgb(255,255,179)"
326,AIRE,autoimmune regulator,21,"rgb(253,180,98)"
334,APLP2,amyloid beta (A4) precursor-like protein 2,11,"rgb(190,186,218)"
356,FASLG,"Fas ligand (TNF superfamily, member 6)",1,"rgb(141,211,199)"
367,AR,androgen receptor,X,"rgb(253,180,98)"
373,TRIM23,tripartite motif containing 23,5,"rgb(255,255,179)"
468,ATF4,activating transcription factor 4,22,"rgb(253,180,98)"
493,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4",1,"rgb(141,211,199)"
546,ATRX,alpha thalassemia/mental retardation syndrome X-linked,X,"rgb(253,180,98)"
547,KIF1A,kinesin family member 1A,2,"rgb(141,211,199)"
573,BAG1,BCL2-associated athanogene,9,"rgb(190,186,218)"
578,BAK1,BCL2-antagonist/killer 1,6,"rgb(255,255,179)"
595,CCND1,cyclin D1,11,"rgb(190,186,218)"
598,BCL2L1,BCL2-like 1,20,"rgb(128,177,211)"
610,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2,19,"rgb(128,177,211)"
658,BMPR1B,"bone morphogenetic protein receptor, type IB",4,"rgb(141,211,199)"
672,BRCA1,"breast cancer 1, early onset",17,"rgb(128,177,211)"
705,BYSL,bystin-like,6,"rgb(255,255,179)"
708,C1QBP,"complement component 1, q subcomponent binding protein",17,"rgb(128,177,211)"
773,CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",19,"rgb(128,177,211)"
836,CASP3,"caspase 3, apoptosis-related cysteine peptidase",4,"rgb(141,211,199)"
857,CAV1,"caveolin 1, caveolae protein, 22kDa",7,"rgb(255,255,179)"
867,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",11,"rgb(190,186,218)"
976,CD97,CD97 molecule,19,"rgb(128,177,211)"
998,CDC42,cell division cycle 42,1,"rgb(141,211,199)"
1022,CDK7,cyclin-dependent kinase 7,5,"rgb(255,255,179)"
1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",6,"rgb(255,255,179)"
1051,CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",20,"rgb(128,177,211)"
1072,CFL1,cofilin 1 (non-muscle),11,"rgb(190,186,218)"
1073,CFL2,cofilin 2 (muscle),14,"rgb(251,128,114)"
1107,CHD3,chromodomain helicase DNA binding protein 3,17,"rgb(128,177,211)"
1147,CHUK,conserved helix-loop-helix ubiquitous kinase,10,"rgb(190,186,218)"
1173,AP2M1,"adaptor-related protein complex 2, mu 1 subunit",3,"rgb(141,211,199)"
1374,CPT1A,carnitine palmitoyltransferase 1A (liver),11,"rgb(190,186,218)"
1386,ATF2,activating transcription factor 2,2,"rgb(141,211,199)"
1387,CREBBP,CREB binding protein,16,"rgb(251,128,114)"
1400,CRMP1,collapsin response mediator protein 1,4,"rgb(141,211,199)"
1432,MAPK14,mitogen-activated protein kinase 14,6,"rgb(255,255,179)"
1434,CSE1L,CSE1 chromosome segregation 1-like (yeast),20,"rgb(128,177,211)"
1445,CSK,c-src tyrosine kinase,15,"rgb(251,128,114)"
1460,CSNK2B,"casein kinase 2, beta polypeptide",6,"rgb(255,255,179)"
1487,CTBP1,C-terminal binding protein 1,4,"rgb(141,211,199)"
1488,CTBP2,C-terminal binding protein 2,10,"rgb(190,186,218)"
1600,DAB1,"Dab, reelin signal transducer, homolog 1 (Drosophila)",1,"rgb(141,211,199)"
1605,DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1),3,"rgb(141,211,199)"
1627,DBN1,drebrin 1,5,"rgb(255,255,179)"
1639,DCTN1,dynactin 1,2,"rgb(141,211,199)"
1748,DLX4,distal-less homeobox 4,17,"rgb(128,177,211)"
1759,DNM1,dynamin 1,9,"rgb(190,186,218)"
1789,DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,20,"rgb(128,177,211)"
1795,DOCK3,dedicator of cytokinesis 3,3,"rgb(141,211,199)"
1797,DXO,decapping exoribonuclease,6,"rgb(255,255,179)"
1822,ATN1,atrophin 1,12,"rgb(190,186,218)"
1854,DUT,deoxyuridine triphosphatase,15,"rgb(251,128,114)"
1857,DVL3,dishevelled segment polarity protein 3,3,"rgb(141,211,199)"
1912,PHC2,polyhomeotic homolog 2 (Drosophila),1,"rgb(141,211,199)"
1915,EEF1A1,eukaryotic translation elongation factor 1 alpha 1,6,"rgb(255,255,179)"
1951,CELSR3,"cadherin, EGF LAG seven-pass G-type receptor 3",3,"rgb(141,211,199)"
1956,EGFR,epidermal growth factor receptor,7,"rgb(255,255,179)"
2017,CTTN,cortactin,11,"rgb(190,186,218)"
2033,EP300,E1A binding protein p300,22,"rgb(253,180,98)"
2048,EPHB2,EPH receptor B2,1,"rgb(141,211,199)"
2064,ERBB2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2,17,"rgb(128,177,211)"
2065,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3,12,"rgb(190,186,218)"
2079,ERH,enhancer of rudimentary homolog (Drosophila),14,"rgb(251,128,114)"
2099,ESR1,estrogen receptor 1,6,"rgb(255,255,179)"
