name,symbol,description,chromosome,color
1,A1BG,alpha-1-B glycoprotein,19,"rgb(128,177,211)"
2,A2M,alpha-2-macroglobulin,12,"rgb(190,186,218)"
18,ABAT,4-aminobutyrate aminotransferase,16,"rgb(251,128,114)"
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",9,"rgb(190,186,218)"
27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,"rgb(141,211,199)"
29,ABR,active BCR-related,17,"rgb(128,177,211)"
55,ACPP,"acid phosphatase, prostate",3,"rgb(141,211,199)"
58,ACTA1,"actin, alpha 1, skeletal muscle",1,"rgb(141,211,199)"
60,ACTB,"actin, beta",7,"rgb(255,255,179)"
71,ACTG1,"actin, gamma 1",17,"rgb(128,177,211)"
81,ACTN4,"actinin, alpha 4",19,"rgb(128,177,211)"
90,ACVR1,"activin A receptor, type I",2,"rgb(141,211,199)"
160,AP2A1,"adaptor-related protein complex 2, alpha 1 subunit",19,"rgb(128,177,211)"
197,AHSG,alpha-2-HS-glycoprotein,3,"rgb(141,211,199)"
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,14,"rgb(251,128,114)"
238,ALK,anaplastic lymphoma receptor tyrosine kinase,2,"rgb(141,211,199)"
259,AMBP,alpha-1-microglobulin/bikunin precursor,9,"rgb(190,186,218)"
274,BIN1,bridging integrator 1,2,"rgb(141,211,199)"
287,ANK2,"ankyrin 2, neuronal",4,"rgb(141,211,199)"
301,ANXA1,annexin A1,9,"rgb(190,186,218)"
309,ANXA6,annexin A6,5,"rgb(255,255,179)"
322,APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",11,"rgb(190,186,218)"
323,APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2",4,"rgb(141,211,199)"
324,APC,adenomatous polyposis coli,5,"rgb(255,255,179)"
326,AIRE,autoimmune regulator,21,"rgb(253,180,98)"
329,BIRC2,baculoviral IAP repeat containing 2,11,"rgb(190,186,218)"
334,APLP2,amyloid beta (A4) precursor-like protein 2,11,"rgb(190,186,218)"
351,APP,amyloid beta (A4) precursor protein,21,"rgb(253,180,98)"
356,FASLG,"Fas ligand (TNF superfamily, member 6)",1,"rgb(141,211,199)"
367,AR,androgen receptor,X,"rgb(253,180,98)"
369,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",X,"rgb(253,180,98)"
391,RHOG,ras homolog family member G,11,"rgb(190,186,218)"
396,ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,17,"rgb(128,177,211)"
420,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),12,"rgb(190,186,218)"
472,ATM,ATM serine/threonine kinase,11,"rgb(190,186,218)"
493,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4",1,"rgb(141,211,199)"
558,AXL,AXL receptor tyrosine kinase,19,"rgb(128,177,211)"
595,CCND1,cyclin D1,11,"rgb(190,186,218)"
610,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2,19,"rgb(128,177,211)"
613,BCR,breakpoint cluster region,22,"rgb(253,180,98)"
640,BLK,"BLK proto-oncogene, Src family tyrosine kinase",8,"rgb(255,255,179)"
656,BMP8B,bone morphogenetic protein 8b,1,"rgb(141,211,199)"
658,BMPR1B,"bone morphogenetic protein receptor, type IB",4,"rgb(141,211,199)"
660,BMX,BMX non-receptor tyrosine kinase,X,"rgb(253,180,98)"
672,BRCA1,"breast cancer 1, early onset",17,"rgb(128,177,211)"
675,BRCA2,"breast cancer 2, early onset",13,"rgb(251,128,114)"
695,BTK,Bruton agammaglobulinemia tyrosine kinase,X,"rgb(253,180,98)"
699,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,2,"rgb(141,211,199)"
773,CACNA1A,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",19,"rgb(128,177,211)"
835,CASP2,"caspase 2, apoptosis-related cysteine peptidase",7,"rgb(255,255,179)"
857,CAV1,"caveolin 1, caveolae protein, 22kDa",7,"rgb(255,255,179)"
867,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",11,"rgb(190,186,218)"
868,CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase",3,"rgb(141,211,199)"
914,CD2,CD2 molecule,1,"rgb(141,211,199)"
916,CD3E,"CD3e molecule, epsilon (CD3-TCR complex)",11,"rgb(190,186,218)"
919,CD247,CD247 molecule,1,"rgb(141,211,199)"
920,CD4,CD4 molecule,12,"rgb(190,186,218)"
930,CD19,CD19 molecule,16,"rgb(251,128,114)"
933,CD22,CD22 molecule,19,"rgb(128,177,211)"
945,CD33,CD33 molecule,19,"rgb(128,177,211)"
976,CD97,CD97 molecule,19,"rgb(128,177,211)"
987,LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",4,"rgb(141,211,199)"
998,CDC42,cell division cycle 42,1,"rgb(141,211,199)"
1000,CDH2,"cadherin 2, type 1, N-cadherin (neuronal)",18,"rgb(128,177,211)"
1001,CDH3,"cadherin 3, type 1, P-cadherin (placental)",16,"rgb(251,128,114)"
1003,CDH5,"cadherin 5, type 2 (vascular endothelium)",16,"rgb(251,128,114)"
1027,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",12,"rgb(190,186,218)"
1058,CENPA,centromere protein A,2,"rgb(141,211,199)"
1072,CFL1,cofilin 1 (non-muscle),11,"rgb(190,186,218)"
1081,CGA,"glycoprotein hormones, alpha polypeptide",6,"rgb(255,255,179)"
1123,CHN1,chimerin 1,2,"rgb(141,211,199)"
1154,CISH,cytokine inducible SH2-containing protein,3,"rgb(141,211,199)"
1271,CNTFR,ciliary neurotrophic factor receptor,9,"rgb(190,186,218)"
1337,COX6A1,cytochrome c oxidase subunit VIa polypeptide 1,12,"rgb(190,186,218)"
1387,CREBBP,CREB binding protein,16,"rgb(251,128,114)"
1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,17,"rgb(128,177,211)"
1399,CRKL,v-crk avian sarcoma virus CT10 oncogene homolog-like,22,"rgb(253,180,98)"
1400,CRMP1,collapsin response mediator protein 1,4,"rgb(141,211,199)"
1439,CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",22,"rgb(253,180,98)"
1445,CSK,c-src tyrosine kinase,15,"rgb(251,128,114)"
1452,CSNK1A1,"casein kinase 1, alpha 1",5,"rgb(255,255,179)"
1453,CSNK1D,"casein kinase 1, delta",17,"rgb(128,177,211)"
1457,CSNK2A1,"casein kinase 2, alpha 1 polypeptide",20,"rgb(128,177,211)"
1460,CSNK2B,"casein kinase 2, beta polypeptide",6,"rgb(255,255,179)"
1493,CTLA4,cytotoxic T-lymphocyte-associated protein 4,2,"rgb(141,211,199)"
1495,CTNNA1,"catenin (cadherin-associated protein), alpha 1, 102kDa",5,"rgb(255,255,179)"
1499,CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa",3,"rgb(141,211,199)"
1600,DAB1,"Dab, reelin signal transducer, homolog 1 (Drosophila)",1,"rgb(141,211,199)"
1601,DAB2,"Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)",5,"rgb(255,255,179)"
1605,DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1),3,"rgb(141,211,199)"
1615,DARS,aspartyl-tRNA synthetase,2,"rgb(141,211,199)"
1634,DCN,decorin,12,"rgb(190,186,218)"
1639,DCTN1,dynactin 1,2,"rgb(141,211,199)"
1742,DLG4,"discs, large homolog 4 (Drosophila)",17,"rgb(128,177,211)"
1748,DLX4,distal-less homeobox 4,17,"rgb(128,177,211)"
1759,DNM1,dynamin 1,9,"rgb(190,186,218)"
1775,DNASE1L2,deoxyribonuclease I-like 2,16,"rgb(251,128,114)"
1780,DYNC1I1,"dynein, cytoplasmic 1, intermediate chain 1",7,"rgb(255,255,179)"
1785,DNM2,dynamin 2,19,"rgb(128,177,211)"
1795,DOCK3,dedicator of cytokinesis 3,3,"rgb(141,211,199)"
1796,DOK1,"docking protein 1, 62kDa (downstream of tyrosine kinase 1)",2,"rgb(141,211,199)"
1822,ATN1,atrophin 1,12,"rgb(190,186,218)"
1829,DSG2,desmoglein 2,18,"rgb(128,177,211)"
1840,DTX1,"deltex 1, E3 ubiquitin ligase",12,"rgb(190,186,218)"
1857,DVL3,dishevelled segment polarity protein 3,3,"rgb(141,211,199)"
1894,ECT2,epithelial cell transforming 2,3,"rgb(141,211,199)"
1937,EEF1G,eukaryotic translation elongation factor 1 gamma,11,"rgb(190,186,218)"
1946,EFNA5,ephrin-A5,5,"rgb(255,255,179)"
1951,CELSR3,"cadherin, EGF LAG seven-pass G-type receptor 3",3,"rgb(141,211,199)"
1953,MEGF6,multiple EGF-like-domains 6,1,"rgb(141,211,199)"
1956,EGFR,epidermal growth factor receptor,7,"rgb(255,255,179)"
2017,CTTN,cortactin,11,"rgb(190,186,218)"
2023,ENO1,"enolase 1, (alpha)",1,"rgb(141,211,199)"
2033,EP300,E1A binding protein p300,22,"rgb(253,180,98)"
2048,EPHB2,EPH receptor B2,1,"rgb(141,211,199)"
2057,EPOR,erythropoietin receptor,19,"rgb(128,177,211)"
2059,EPS8,epidermal growth factor receptor pathway substrate 8,12,"rgb(190,186,218)"
2060,EPS15,epidermal growth factor receptor pathway substrate 15,1,"rgb(141,211,199)"
2064,ERBB2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2,17,"rgb(128,177,211)"
2065,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3,12,"rgb(190,186,218)"
2066,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,2,"rgb(141,211,199)"
2099,ESR1,estrogen receptor 1,6,"rgb(255,255,179)"
2100,ESR2,estrogen receptor 2 (ER beta),14,"rgb(251,128,114)"
2101,ESRRA,estrogen-related receptor alpha,11,"rgb(190,186,218)"
2104,ESRRG,estrogen-related receptor gamma,1,"rgb(141,211,199)"
2130,EWSR1,EWS RNA-binding protein 1,22,"rgb(253,180,98)"
